"RegionName","City","State","Metro","CountyName","SizeRank","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06"
"Enterprise","Las Vegas","NV","Las Vegas","Clark",1,0.64478477985859,0.707986281234689,0.685483740050558,0.646809571286142,0.689612133904153,0.673817381738174,0.628769491026773,0.632538982053545,0.64437984496124,0.632538982053545,0.632538982053545,0.649432505131353,0.654744822308318,0.660325337744693,0.638383382745117,0.632380238792197,0.632538982053545,0.609059763989341,0.60478074022333,0.613748056924881,0.620993866388089,0.635926337731812,0.604658583280153,0.612231114260002,0.606121744057965,0.604170523152301,0.605982465188241,0.606561896884477,0.62396006655574,0.63991698374265,0.616380231030282,0.62396006655574,0.63536622258714,0.610021786492375,0.622489959839357,0.608695652173913,0.636570131248374,0.617677363145474,0.637567435017165,0.638162093171666,0.62253903948905,0.613496932515337,0.662576687116564,0.647032574743418,0.649280388514321,0.625459657102322,0.641208327388596,0.647897983482799,0.659587752619346,0.662576687116564,0.670307845084409,0.648958647751283,0.695171693500588,0.713049123566328
"Jamaica Plain","Boston","MA","Boston","Suffolk",2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.960466062696101,0.93964083697697,0.970088924818108,0.999202804068462,0.975329890992542,0.957592339261286,0.931693597943438,0.911896745230079,0.897485932993877,0.862589445438283,0.882153193950343,0.924563984030258,0.970668547207736,0.987332409838975,0.9383608815427,0.900185332274292,0.947687642153146,0.873515024458421
"North Central","Philadelphia","PA","Philadelphia","Philadelphia",3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.5,1.49835526315789,1.40632723677706,1.31578947368421,1.35,1.35,1.41080312722104,1.43682906688687,1.42566835260116,1.47195443657553,1.55,1.57920310981535,1.52857142857143,1.55601659751037,1.53986013986014,1.63888888888889,1.575,1.6,1.49253731343284
