"RegionName","City","State","Metro","CountyName","SizeRank","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06"
"Paradise","Las Vegas","NV","Las Vegas","Clark",1,,,,,,,,,,,,,1395,1400,1395,1395,1375,1375,1350,1350,1350,1350,1350,1362.5,1395,1400,1400,1400,1390,1375,1396.5,1475,1500,1495,1450,1487.5,1447.5,1450,1450,1450,1450,1400,1400,1400,1450,1397.5,1450,1400,1380,1400,1450,1485,1450,1500,1495,1492.5,1500,1445,1450,1450,1400,1450,1515,1550,1530,1499.5
"Sunrise Manor","Las Vegas","NV","Las Vegas","Clark",2,,,,,,,1050,1000,982.5,1000,1000,1000,1000,950,977.5,1050,1067.5,1100,1100,1100,1095,1050,995,999.5,997,1099,1100,1100,1099,1051,1067.5,1060,1125,1162.5,1100,1100,1095,1095,1100,1100,1150,1150,1150,1137.5,1100,1100,1150,1150,1100,1100,1100,1100,1149,1200,1197.5,1175,1160,1150,1150,1150,1100,1150,1200,1197.5,1200,1160
"Spring Valley","Las Vegas","NV","Las Vegas","Clark",3,,,,,1437.5,1400,1495,1500,1495,1497.5,1495,1450,1450,1362.5,1350,1395,1395,1400,1395,1385,1350,1350,1300,1300,1350,1350,1350,1450,1475,1400,1390,1375,1395,1395,1395,1395,1395,1400,1400,1400,1450,1422.5,1400,1400,1450,1400,1400,1450,1495,1497.5,1450,1497,1490,1475,1495,1498.5,1450,1450,1495,1450,1495,1500,1550,1497,1537.5,1600
"Paradise Valley","Phoenix","AZ","Phoenix","Maricopa",4,2044.5,2050,2150,1900,1800,1800,1800,1950,1800,1920,1950,1800,1800,2000,1795,1772.5,1850,2000,1895,1850,1700,1583,1675,1600,1775,1797.5,1750,1700,1695,1550,1772.5,1772.5,1800,1797.5,1795,1822.5,1850,1822.5,1775,1762.5,2000,2000,1925,1850,1850,1850,1950,2100,2050,2150,2200,2200,2097.5,2012.5,1987.5,1985,1850,1925,1825,2000,1995,2000,2222.5,1925,2250,2100
"Washington Heights","New York","NY","New York","New York",5,,,,,,,,,,,,,,2650,2500,2600,2672.5,2695,2672.5,2750,2700,2672.5,2600,2697.5,2695,2750,2700,2700,2700,2697.5,2800,2800,2800,2750,2800,2750,2900,2950,2900,2995,3000,3095,3100,3050,2900,3050,2995,2995,3000,3000,3050,3000,2999.5,2999.5,3175,3195,3195,3147.5,3100,3050,3200,3200,3200,3300,3200,3150
"Astoria","New York","NY","New York","Queens",6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3000,3200,3450,3250,3300,3500,3500,3250,3000,3000,3000,3100,3475,3500,3500,3500,3500,4000,3500,3500,3495,3050,3100,3000,3049.5,3200,3500,3500
"Williamsburg","New York","NY","New York","Kings",7,,,,,,,,,,,,,,,3400,3600,3550,4000,3800,3500,4100,3999,3495,3495,3495,3600,4000,4000,4000,4000,4000,4200,4000,4000,4000,3800,3800,3800,3947.5,4000,4347.5,4500,4895,4900,4600,4500,4600,4500,4425,4441.5,4600,4795,4500,4849.5,4750,4772.5,4800,4200,4200,4242.5,4497,4640,4995,4995,4995,4800
"Bedford Stuyvesant","New York","NY","New York","Kings",8,,,,,,,,,,,,,,,,,,,,,,,,,,,3199.5,3200,3200,3200,3250,3300,3200,3200,3200,3200,3200,3100,3108,3100,3149,3200,3300,3397,3395,3350,3300,3250,3300,3200,3250,3200,3200,3200,3350,3499,3500,3499,3500,3499,3500,3400,3399,3400,3599.5,3600
"Flatbush","New York","NY","New York","Kings",9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2875,2699.5,2695,2695,2625,2600,2600,2900,2575,2600,2800,3000,2800,2800,2800,2750,2850,2500,2500,2699,2800,2800,2800,2972.5,3000,3000,3000,3100,3100,3000,3100
"Crown Heights","New York","NY","New York","Kings",10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3750,3450,3250,3350,3299.5,3395,3200,3300,3389,3399,3650,3800,3700,3500,3500,3500,3550,3600,3500,3500
"Bushwick","New York","NY","New York","Kings",11,,,,,,,,,,,,,,,2875,2800,2800,2800,2800,2499,2500,2700,2700,2500,2500,2699,2850,2850,3100,3100,3049.5,3199,3399,3599,3500,3450,3250,3300,3300,3399,3399,3599,3300,3300,3389.5,3399.5,3300,3200,3299.5,3381,3350,3297,3395,3499,3600,3600,3600,3600,3560,3598,3599,3500,3600,3600,3600,3598.5
"North Scottsdale","Scottsdale","AZ","Phoenix","Maricopa",12,,2900,2850,3000,3000,3000,3000,3100,2975,3100,2825,2650,2500,2775,2850,2995,2975,2995,3042.5,3085,3300,2889,2800,2750,2680,2650,2700,2700,2695,2725,2500,2600,2772.5,2875,2650,2525,2500,2700,2600,2800,2800,2899,2899,2825,2750,3000,2950,2850,2800,3225,3100,3450,3400,3400,3499,3000,2800,2797.5,3175,3325,3250,3400,3500,3475,2995,3000
"Enterprise","Las Vegas","NV","Las Vegas","Clark",13,1500,1500,1500,1450,1549.5,1425,1395,1395,1450,1375,1350,1385,1395,1377.5,1395,1495,1400,1400,1395,1450,1395,1400,1400,1397.5,1350,1395,1395,1395,1450,1400,1395,1425,1437.5,1400,1395,1350,1350,1350,1395,1395,1450,1495,1485,1495,1512.5,1495,1495,1425,1450,1450,1450,1495,1450,1495,1512.5,1517.5,1500,1550,1595,1595,1597.5,1600,1650,1650,1525,1600
"Northwest","El Paso","TX","El Paso","El Paso",14,,,,,1800,1750,1600,1600,1700,1700,1587.5,1800,1800,1700,1800,1800,1700,1550,1662.5,1800,1850,1825,1790,1700,1700,1700,1595,1700,1750,1695,1550,1600,1622.5,1645,1600,1600,1600,1575,1550,1600,1785,1750,1795,1662.5,1600,1600,1600,1700,1725,1750,1737.5,1750,1650,1650,1600,1750,1600,1695,1600,1625,1600,1600,1600,1625,1750,1700
"Southeast","Arlington","TX","Dallas-Fort Worth","Tarrant",15,,,,,,,,,,,,,,,,,,,,,,,,,,1540,1472.5,1450,1537.5,1537.5,1550,1549,1512.5,1495,1495,1495,1477,1450,1495,1495,1644.5,1575,1495,1500,1495,1495,1495,1495,1512.5,1550,1550,1575,1595,1607,1595,1600,1597.5,1639,1562.5,1597.5,1610,1650,1595,1595,1650,1700
"East Village","New York","NY","New York","New York",16,,,,,4875,4600,4887.5,4995,4800,4800,4800,4797.5,5000,5200,5000,4847.5,5000,5150,5200,5400,5372.5,5250,5200,5100,5195,5195,5100,5200,5200,5100,5250,5250,5200,5195,5195,5100,5295,5295,5300,5400,5500,5695,5900,5739,5739,5739,5739,5739,5739,5600,5600,5800,5760,5600,5750,6000,6000,6000,5680,5450,5500,5497.5,5500,5705,5800,5800
"Ridgewood","New York","NY","New York","Queens",17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3100,3200,3200,3300,3375,3400,3395,3300,3385,3500,3400,3448,3400,3500,3560,3550,3550,3595,3500
"Park Slope","New York","NY","New York","Kings",18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5100,5200,5200,5500,5000,5000,4999.5,5000,4950,4950,4650,4650,5000,5000,4250,4000,4700,4950,5225,4875,4800,4950,4600,4400,4700,4950,4825,5050,4800
"Centennial Hills","Las Vegas","NV","Las Vegas","Clark",19,,,,,,,,1395,1300,1320,1297.5,1295,1295,1295,1320,1320,1299.5,1320,1350,1300,1300,1295,1295,1295,1250,1250,1297,1300,1300,1295,1350,1350,1350,1350,1350,1347.5,1350,1337.5,1310,1337.5,1375,1350,1350,1350,1350,1350,1297,1250,1297.5,1325,1400,1400,1385,1395,1385,1400,1450,1450,1450,1425,1462.5,1400,1449,1422.5,1495,1475
